Title,First Paragraph
W. B. Yeats,<START> Ni William Butler Yeats ket maysa idi nga Irlandes a mannaniw ken maysa kadagiti kangrunaan a pigura iti literatura ti maika-20 a siglo. <END>
Joan Crawford,"<START> Ni Joan Crawford, ket maysa idi nga Amerikana nga aktres iti pelikula ken telebision a nangrugi a kas sumasala ken showgirl iti entablado. Idi 1999, inranggo ti American Film Institute ni Crawford a maikasangapulo iti listaanda iti kalatakan a babai nga artista iti Sinema ti Klasiko a Hollywood. <END>"
Julia Roberts,"<START> Ni Julia Fiona Roberts ket maysa nga Amerikana nga aktres ken produser. Isu ket nagbalin nga artista iti Hollywood kalpasan iti panagbidana iti romatiko a komedia iti Pretty Woman (1990), a nakalako iti $464 a riwriw iti sangalubongan. Isu ket nangabak iti tallo a Gunguna ti Nabalitokan a Globo, ken nainominadon para kadagiti uppat a Gunguna ti Akademia para iti panagartena iti pelikula, ken nangabak iti Kalaingan nga Aktres para iti panangiladawanna iti Erin Brockovich (2000). <END>"
John Wayne,"<START> Ni Marion Mitchell Morrison, kaaduan nga ammo iti naganna iti entablado a kas John Wayne ken babaen tibirngasna a 'Duke', ket maysa idi nga Amerikano nga aktor iti pelikula, direktor, ken produser. Nangabak iti Gunguna ti Akademia para iti True Grit (1969), ni Wayne ket maysa idi kadagiti kaaduan a mangaw-awis iti panagtagilako iti sine para kadagiti tallo a dekada. Maysa nga agpapaut a simbolo ti Amerikano, para kadagiti nadumaduma a kaputotan ti Amerikano isu ket pokpoken ti nagubsang a makulinidad ken nadayeg para iti panagkukuana, a mairaman iti naisangayan a natalna a boses, pagna ken katayag. <END>"
Sandra Bullock,"<START> Ni Sandra Annette Bullock ket maysa nga Amerikana nga aktres ken produser. Isu ket maysa kadagiti kanginaan ti bayad nga aktres, ken nangabak iti Gunguna ti Akademia ken Gunguna ti Banalitokan a Globo. <END>"
Knut Hamsun,"<START> Ni Knut Hamsun ket maysa idi a Norwego a mannurat, a nagunggunaan ti Premio Nobel iti Literatura idi 1920. Nadayawan isuna babaen ni Ari Haakon VII iti Norwega a kas ti Kararua ti Norwega. <END>"
Doris Lessing,"<START> Ni Doris May Lessing ket maysa idi a Britaniko a nobelista, mannaniw, daramaturgo, libretista, biograpo ken mannurat ti ababa a sarita. Dagiti nobelana ket mairaman ti Ti Ruot ket Agkankanta (1950), ti sinaruno dagiti lima nga urnong ti nobela a tinawtawagan ti Annak ti Ranggas (1952–69), Ti Nabalitokan a Kuaderno (1962), Ti Nasayaat a Terorista (1985), ken dagiti lima nga urnong ti nobela a naamammuan iti Canopus idiay Argos: Dagiti Arkibo (1979–1983). <END>"
Werner Heisenberg,"<START> Ni Werner Karl Heisenberg ket Aleman a teoretikal a pisiko ken maysa kadagiti nangruna a pionero ti mekanika kuantum. Isu ket nangipablaak iti obrana idi 1925 iti baro a papel. Kadagiti simmaruno a serye dagiti papel kada Max Born ken Pascual Jordan, iti las-ud ti isu met laeng a tawen, daytoy a pormulasion ti matrix ti mekanika kuantum ket kaaduan idi a naipalawag. Idi 1927 inpablaakna ti bukodna a pamunganayan ti panagdudua, ken dayta ti nangitakderanna ti pilosopiana ken ti kaaduan a pammakaammo kaniana. Ni Heisenberg ket nagungunaan ti Premio Nobel iti Pisika idi 1932 'para iti panagpartuat ti mekanika kuantum'. Isu ket nangruna pay a nagkontribusion kadagiti teoria iti hidrodinamika dagiti nagulo nga ayus, ti tengnga ti atomiko, ferromagnetismo, kosmiko a rayraya, ken dagiti subatomiko a partikula, ken instrumental pay iti panagplano ti immuna a reaktor ti atomiko ti Laud nga Alemania idiay Karlsruhe, ken kakuyog ti panagsukisok ti reaktor idiay Munich, idi 1957. <END>"
Harold Pinter,"<START> Ni Harold Pinter ket maysa a Britaniko a mannurat, dramaturgo, ken direktor ti teatro ken pelikula. Napadayawan iti Premio Nobel iti Literatura idi 2005. <END>"
Jane Fonda,"<START> Ni Jane Fonda ket Amerikana nga aktres, mannurat, aktibista iti politika, dati a modelo iti moda ken guru iti kinasalun-at. Isu ket namindua a nangabak iti Gunguna ti Akademia ken namindua a beses a nangabak iti Premio BAFTA. Idi 2014, isu ket nagungunaan iti AFI Life Achievement Award ti American Film Institute. <END>"
Al Pacino,"<START> Ni Alfredo James 'Al' Pacino ket maysa nga Amerikano nga aktor ti entablado ken pelikula, agpatpataud iti pelikula, ken mannurat iti senario. <END>"
Demi Lovato,<START> Ni Demetria Devonne 'Demi' Lovato ket maysa nga aktres ken kumakanta manipud idiay Estados Unidos. <END>
Boris Pasternak,"<START> Ni Boris Leonidovich Pasternak ket maysa idi a nobelista, mannaniw, ken agipatpatarus ti literatura iti pagsasao a Ruso. Idiay katutubo na a Rusia, ti antolohia ni Pasternak a Ti Kabsat ko a Babai, Ti Biag ko, ket maysa kadagiti kaimpluensian nga urnong a naipablaak iti Pagsasao a Ruso. Ken dagiti teatriko nga impatarusna a Goethe, Schiller, Pedro Calderón de la Barca, ken William Shakespeare ket agnanayon a nasiglat kadagiti agbuybuya a Ruso. <END>"
Henri Becquerel,"<START> Ni Antoine Henri Becquerel ket Pranses a pisiko, Nobel laureado, ken ti nangduktal ti radioaktibidad a kakuyogna ni Marie Skłodowska-Curie ken ni Pierre Curie, nga isuda a tallo ket nagungunaan ti Premio Nobel iti Pisika idi 1903. <END>"
John Dalton,"<START> Ni John Dalton  ket maysa idi nga Inggles a kimiko, meteorologo ken pisiko. Isu ket kaaduan a naamammuan para kadagiti pionero nga obrana iti panagrang-ay ti moderno a teoria ti atomiko. <END>"
Jodie Foster,"<START> Ni Alicia Christian 'Jodie' Foster ket maysa nga Amerikana nga aktres, direktor ken produser a nagobra kadagiti pelikula ken iti telebision. Isu ket masansan a madakdakamat a kas maysa kadagiti kalaingan nga aktres iti henerasionna. Inrugi ni Foster ti pagsapulanna idi agtawen iti tallo a kas modelo nga ubing idi 1965, ken kalpasan ti dua a tawen, napan nagarte kadagiti serye ti telebision, iti sitcom ti Mayberry R.F.D. ti immuna nga inaramidna. Kadagiti naladaw a tawen ti 1960 ken dagiti nasapa a tawen ti 1970, isu ket nagtrabaho kadagiti nadumaduma a serye ti primetime telebision ken nagbida kadagiti pelikula ti ubbing. Ti kaaduan a nakaammuan kenni Foster ket iti Taxi Driver (1976) ni Martin Scorsese, a nagpapel iti datoy a kas agtutubo a pampam; ti papelna iti daytoy ket nakaawatanna ti nominasion para iti Gunguna ti Akademia. <END>"
Wole Soyinka,"<START> Ni Akinwande Oluwole 'Wole' Soyinka ket maysa a Nigeriano a mannurat, mannaniw ken dramaturgo. Nagunggunaan isuna idi 1986 ti Premio Nobel iti Literatura, a nabigbigan isuna a kas maysa a tao nga 'addaan ti nalawa a kultural a perspektibo ken addaan dagiti moda a kapanunutan a panagdaniw ti drama iti panagbiag', ken isu ti immuna nga Aprikano ken idiay Diaspora a napadayawan. Idi 1994, isu ket nainaganan ti UNESCO a maysa a Naimbagan ti Nakem nga Embahador para iti panagipangato iti Aprikano a Kultura, karbengan dagiti nagtagitaoan, nawaya a panagyebkas, midia ken pannakisarita. <END>"
Henryk Sienkiewicz,"<START> Ni Henryk Adam Aleksander Pius Sienkiewicz ket maysa idi a Polako nga agiwarwarnak, nangabak iti Premio Nobel a nobelista, ken pilantropo. Isu ket kaaduan a nailaglagipan para kadagiti bukodna a naipakasaritaan a nobela. <END>"
David Hilbert,"<START> Ni David Hilbert, ForMemRS ket maysa idi nga Aleman a matematiko. Isu ket nabigbigan a kas maysa kadagiti kaimpluensiaan ken dagiti unibersal a matematiko iti maika-19 a siglo ket ti nasapa a maika-20 a sigsiglo. Ni Hilbert ket isu ti nakaduktal ken nangirang-ay kadagiti nawatiwat a sakop kadagiti kammasapulan a kapanunotan kadagiti adu a pagobraan, a mairaman ti di agdumaduma a teoria ken ti aksiomasisasion iti heometria. Isu pay ti nangiyannurot ti teoria dagiti limbang ni Hilbert, maysa kadagiti pundasion ti maiyannnong a panagusig. <END>"
Christina Aguilera,<START> Ni Christina Aguilera ket maysa nga aktres ken kumakanta manipud idiay Estados Unidos. <END>
Sixto Brillantes,"<START> Ni Sixto Serrano Brillantes, Jr. ket isu ti idi ti mangipangulo ti Komision dagiti Eleksion (Comelec). Isu ket indutok babaen ni Presidente Benigno Aquino III idi Enero 16, 2011 tapno agserbi ti saan pay a nagpaso a termino ni Mangipagulo Jose Melo. <END>"
Hendrik Lorentz,<START> Ni Hendrik Antoon Lorentz ket maysa idi nga Olandes a pisiko a nakibinningay kenni Pieter Zeeman ti Premio Nobel iti Pisika idi 1902 para iti panagduktal ti teoretio a pannakaipalawag ti epekto ni Zeeman. Pinataudna pay dagiti ekuasion ti transpormasion a kanungpalan nga inusar a panangipalawag babaen ni Albert Einstein ti espasio ken panawen. <END>
Paul Newman,"<START> Ni Paul Leonard Newman ken maysa idi nga Amerikano nga aktor, direktor ti pelikula, negosiante, propesional a nga agpalpalumba iti lugan ken agtagikua, ebironmentalista, aktibista ken pilantropo. Isu ket nangabak kadagit inadumaduma a gunguna, mairaman ti maysa a Gunguna ti Akademia para iti panangiladawanna iti pelikula idi 1986 itiThe Color of Money, ti BAFTA Award, ti Screen Actors Guild Award, ti Gunguna ti Cannes Film Festival, maysa nga Emmy Award, ken dagiti adu nga honorario a gunguna. <END>"
J. M. G. Le Clézio,"<START> Ni Jean-Marie Gustave Le Clézio, kadawyan a nainaganan a kas ni J. M. G. Le Clézio, ket Pranses-Mauritiano a mannurat ken propesor. Ti nagsurat kadagiti sumurok nga uppat a pulo nga obra, isu ket nagunggunaan ti Prix Renaudot idi 1963 para iti nobelana a Le Procès-Verbal. <END>"
Denzel Washington,"<START> Ni Denzel Hayes Washington, Jr. ket maysa nga Amerikano nga aktor ken agpatpataud iti pelikula. Isu ket nakaawat kadagiti tallo a gunguna ti Golden Globe, maysa a Gunguna ti Tony, ken dua a Gunguna ti Akademia: Kalaingan a Suporta nga Aktor para iti historikal a drama ti gubat a pelikula ti Glory (1989) ken Kalaingan nga Aktor para iti papelna iti Training Day (2001). <END>"
Tomas Tranströmer,"<START> Ni Tomas Gösta Tranströmer ket maysa a Sueko mannaniw, sikologo ken agipatpatarus. Dagiti daniwna ket makatiliw kadagiti napaut a panaglalam-ek iti Suesia, ti ritmiko dagiti panawen ken ti makarikna, atmosperiko a kapintas ti katutubo. Ti obra ni Tranströmer ket nailasin pay babaen ti rikna iti misterio ken siddaaw a nakaipanan ti kankanayon nga inaldaw a biag, ti kualidad a masansan a makaited kadagiti daniwna iti relihioso a dimension. Agpayso nga isu ket naibagbaga a kas maysa a Kristiano a a mannaniw. <END>"
Henri Bergson,"<START> Ni Henri-Louis Bergson ket maysa a kangrunaan a Pranses a pilosopo, a kangrunaan a nakaimpluensia iti immuna a kagudua iti maika-20 a siglo. <END>"
Sully Prudhomme,"<START> Ni René François Armand Prudhomme ken maysa a mannaniw ken mannurat a Pransés, anak iti maysa nga tiendero. Isu iti umuna nga napadayawan iti Premio Nobel iti Literatura idi 1901. Nagbasa isuna para iti kinainheniero ngem simmardeng gapu iti pinagsakit ti matana. Iti literatura garud iti insublatna nga inadal. Simmali a miembro ni Prudhomme iti Conférence La Bruyère, gimong dagiti nalatakan nga estudiante idiay Pransia ket iti pinagaseptarda iti sursuratna iti nagrugiananna a nagsurat iti dandaniw. <END>"
Miley Cyrus,<START> Ni Destiny Hope Cyrus ket maysa nga aktres ken kumakanta manipud idiay Estados Unidos. <END>
Mikhail Sholokhov,<START> Ni Mikhail Aleksandrovich Sholokhov ket maysa idi a Sobiet/Ruso a nobelista ken nagunggunaan ti Premio Nobel iti Literatura idi 1965. <END>
Andrea Bocelli,"<START> Ni Andrea Bocelli,(Panangibalikas nga Italiano‎: [anˈdrɛːa boˈtʃɛlli]; nayanak idi 22 Septiembre 1958) ket maysa nga Italiano a kumakanta ti klasikal, ken mannurat ti kanta. Naiyanak a saan a nasayaat a makakita, isu ket permanente a nagbulsek idi agtawen iti 12 kalpasan ti aksidente iti putbol. <END>"
Anatole France,"<START> Ni Anatole France, naipasngay a kas François-Anatole Thibault, [frɑ̃swa anatɔl tibo], ket maysa a Pranses a mannaniw, agiwarwarnak, ken nobelista. Naipasngay idiay Paris, ken pimmusay idiay Saint-Cyr-sur-Loire.Isu ket maysa a naim-balligian a nobelista, nga addaan kadagiti kalaingan a nailaklako. Isuna ket kameng iti Académie française, ken nangabak ti Premio Nobel iti Literatura para iti panakaibigbigan kaniana kadagiti kagun-odan na iti literatura. <END>"
Björk,"<START> Ni Björk Guðmundsdóttir ket maysa a taga-Islandia a kumakanta ken kompositor, nga addaan iti dadakkel kinaykayat iti adu a kita ti musika a pakairamanan ti pop, trip hop, alternatibo a rock, jazz, ambiento a musika, elektronika, folk, ken klasikal a musika. <END>"
Katy Perry,"<START> Ni Katheryn Elizabeth Hudson, naarartap a maammuan ti nagan na iti entablado a Katy Perry, ket maysa nga Amerikana a kumakanta, manursurat ti kanta ken aktres. Naipasngay idiay Santa Barbara, California, ken dimmakkel a kas maysa a Kristiano babaen dagiti pastor a nagannak, ni Perry ket dimmakkel a dumdumngeg iti ebanghelio a musika laeng ken nagkankanta idiay simbaanna idi ubing. Kalpasan a nakaala ti GED idi umuna a tawenna iti nangato a panagadal, nagsurot isuna ti bukodna a karrer, ken kas ni Katy Hudson impablaak na ti nainaganan kaniana nga ebanghelio a plaka idi 2001, nga daytoy ket saan a nagballigi. Nagaramid idi isuna ti maysa a plaka a nairaman ti with produksion a kappon a Ti Matrix, ken nagaramid pay isuna ti plakana nga agmaymaysa ngem daytoy ket saan met a naipablaak. Kalpasan ti panagpirmana iti Capitol Music Group idi 2007, ti maikapat a plakana iti pito nga tawen, inamponna ti entablado a naganna a kas Katy Perry. <END>"
Wisława Szymborska,"<START> Ni Wisława Szymborska, Maria Wisława Anna Szymborska ket maysa idi a Polako a mannaniw, mannalaysay, agipatpatarus ken nagungunaan iti 1996 Premio Nobel iti Literatura. Naipasngay idiay Prowent, nga itan ket nagbalin a paset iti Kórnik, kalpasan daytoy isuna ket nagtaeng met idiay Kraków agingana idi pimmusay. Nailanad isuna a kas ti 'Mozart iti Daniw'. Idiay Polonia, dagiti libro ni Szymborska ket nakadanonen iti panaglako a karibalna dagiti nalatak a mannurat ti prosa: a kinunana iti maysa a daniw, 'Adda Sabsabali a Kaykayatda ti Daniw', nga awan pay nga ad-adu ngen dua kadagiti sangagasot a tattao ket kayatda iti daytoy nga arte. <END>"
Frédéric Mistral,<START> Ni Frédéric Mistral ket maysa a mannaniw a Pransés a nangidaulo iti panangiyungar iti pagsasao a Oksitano ken iti literaturana idi siglo-19. Nagungunaan iti Premio Nobel iti Literatura idi 1904. <END>
Heinrich Böll,<START> Ni Heinrich Theodor Böll ket maysa kadagiti kangrunaan a mannurat iti Alemania iti kalpasan ti Maikadua a Sangalubongan a Gubat. Ni Böll ket nagunggunaan idi ti Premio Georg Büchner idi 1967 ken ti Premio Nobel iti Literatura idi 1972. <END>
Audrey Hepburn,"<START> Ni Audrey Hepburn ket Briton nga aktres, modelo ken humanitariano. Naipasngay isuna idiay Bruselas, Belhika, maymaysa nga anak da Joseph Anthony Ruston ken Baronesa Ella van Heemstra a maysa nga aristokrata a Olandes. Innayon ni tatangna iti apeliedo a Hepburn gapuna a nagbalin isuna nga 'Audrey Hepburn-Ruston.' <END>"
Nicolas Cage,"<START> Ni Nicolas Kim Coppola, ammo iti propesion a kas ni Nicolas Cage, ket maysa nga Amerikano nga aktor ken produser. Isu ket nangiladawan kadagiti bida a papel kadagiti nadumaduma a pelikula, a mairaman dagiti romantiko a komedia aginggana kadagiti piksion-ti siensia ken dagiti pelikula ti aksion. Kadagiti nasapa a tawen iti karernar, nagbida ni Cage kadagiti pelikula a kas ti Valley Girl (1983), Racing with the Moon (1984), Birdy (1984), Peggy Sue Got Married (1986), Raising Arizona (1987), Moonstruck (1987), Vampire's Kiss (1989), Wild at Heart (1990), Honeymoon in Vegas (1992), ken Red Rock West (1993). <END>"
Dustin Hoffman,"<START> Ni Dustin Lee Hoffman ket Amerikano nga aktor ken direktor nga addaan iti pagsapulan iti pelikula, telebision, ken teatro manipud idi 1960. Isu ket nangabak iti Gunguna ti Akademia para iti Kalaingan nga Aktor idi 1980 ken idi 1988. <END>"
Ingrid Bergman,"<START> Ni Ingrid Bergman ket maysa idi a Sueko nga aktres a nagbida kadagiti nadumaduma a pelikula iti Europa ken Amerika. Isu ket nangabak kadagiti Gunguna ti Akademia, dua nga Premio Emmy, uppat a Premio Nabalitokan a Globo, Premio BAFTA, ken ti Premio Tony para iti Kalaingan nga Aktres. Isu ket malaglagip para kadagiti papelna a kas ni Ilsa Lund iti Casablanca (1942) ken kas ni Alicia Huberman iti Notorious (1946), ti maysa a thriller ni Alfred Hitchcock a nagbida met ni Cary Grant. <END>"
Sophia Loren,"<START> Ni Sophia Loren ket Italiana nga aktres iti pelikula. Inrugina ti karerna idi agtawen iti 14 kalpasan ti pagpinnintasan ti kapintas idi 1949. Naawis a sumrek kadagiti sursuro iti panag-akting, ni Loren ket nagparang kadagiti nadumaduma a pirgis ken bassit a parte ken dagiti bassit a papel aginggana kadagiti naladaw a tawen ti 1950 idi nairugi ti sangalubongan a karerna babaen dagiti lima a kontrato a pelikulana iti Paramount. Dagiti pelikula a nagparanganna ket mairaman ti Houseboat, That Kind of Woman, ken It Started in Naples. <END>"
J. M. Coetzee,"<START> Ni John Maxwell 'J. M.' Coetzee ket maysa a mannurat ken akademia manipud idiay Abagatan nga Áprika. Isuna tattan ket maysa nga Australiano ken agtaeng idiay Adelaide, Abagatan nga Australia. Maysa a nobelista ken Literario a kritiko ken agipatpatarus, ni Coetzee ket namindua a nagunggunaan ti Premio Booker ken nagunggunaan ti Premio Nobel iti Literatura idi 2003. <END>"
Giosuè Carducci,"<START> Ni Giosue Carducci ket maysa mannaniw, naindaklan a poeta iti Italia. Idi 1906 napadayawan iti Premio Nobel iti Literatura. Isuna iti immuna nga Italiano a nangunggunaan iti daytoypremio. <END>"
Gerhart Hauptmann,<START> Ni Gerhart Hauptmann ket maysa idi nga Aleman a daramaturgo ken nobelista a nagungunaan ti Premio Nobel iti Literatura idi 1912. <END>
Freddie King,<START> Ni Freddie King ket maysa idi nga impluensial nga Amerikano a gitarista ken kumakanta iti blues. Masassan isuna a naibagbaga a kas maysa kadagiti 'Tallo nga Ari' ti elektriko a gitara ti blues a maikuyog kenni Albert King ken B.B. King. <END>
Yasunari Kawabata,"<START> Ni Yasunari Kawabata ket maysa a Hapon a nobelista a dagiti lirikal ken naannayas a prosana ket nangpangabak kenkuana iti Premio Nobel iti Literatura idi 1968. Isu ti umuna aHapon ken maikatlo nga Asiano, a napadayawan iti nasao a premio. <END>"
Eddie Murphy,"<START> Edward Regan 'Eddie' Murphy ket Amerikano a komediante, aktor, mannurat, kumakanta, ken produser. Dagiti nailaklako manipud kadagiti pelikula ni Murphy ket mangaramid kaniana iti maika-5 kadagiti kaaduan iti nailaklako nga aktor idiay Estados Unidos. Isu ket kankanayon nga agpabpabuya a kameng iti Saturday Night Live manipud idi 1980 aginggana idi 1984. <END>"
Rodrigo Díaz de Vivar,"<START> Ni Rodrigo Díaz de Vivar quet maysa ñga hidalgo quen guerrero ñga castellano na mas popular na ma-amammo iti panagan ñga El Cid Campeador, Mio Cid no haan quet El Cid. No literal na ma-traducir iti panagan ñga El Cid iti idioma ñga ilucu quet agbalin daytoy ñga Ti Apo. <END>"
Reese Witherspoon,"<START> Ni Laura Jeanne Reese Witherspoon ket maysa nga Amerikana nga aktres ken produser. Naiyanak isuna idiay Louisiana ken dimakkel idiay Tennessee, inrugi ni Witherspoon ti pagsapulanna a kas maysa nga ubing nga aktres, ken inrugina ti propesionna iti pelikula iti The Man in the Moon (1991), ken nakainominaduanna daytoy iti Gunguna ti Ubing nga Artista. <END>"
William Golding,"<START> Ni William Gerald Golding ket maysa idi nga Inggles a nobelista, mannaniw, dramaturgo ken laureado ti Premio Nobel iti Literatura, a kaaduan a naamammuan para iti nobelana iti Lord of the Flies. Isu ket nagungunaan pay ti Premio Booker para iti literatura idi 1980 para iti nobelana iti Rites of Passage, ti immuna libro iti trilohia ti To the Ends of the Earth. <END>"
Sean Penn,"<START> Ni Sean Justin Penn ket maysa nga Amerikano nga aktor, agpatpataud iti pelikula, ken aktibista iti politika. Isuket nangabak kadagiti dua a Kalaingan nga Aktor, para kadagiti papelna iti drama ti misterio iti Mystic River (2003) ken ti biopiko ti Milk (2008). <END>"
Selma Lagerlöf,"<START> Ni Selma Ottilia Lovisa Lagerlöf ket maysa idi a a Suéko a mannurat. Isu ti immuna a babai a nagunggunaan ti Premio Nobel iti Literatura, ken kaaduan a naamammuan para iti librona a para kadagiti ubbing a Nils Holgerssons underbara resa genom Sverige. <END>"
John Lee Hooker,"<START> Ni John Lee Hooker ket maysa idi nga Amerikano a kumakanta iti blues, mannurat iti kanta ken gitarista. Naipasngay isuna idiay Mississippi ken dimmayeg iti panagtoktokar iti gitara iti maysa nga estilo a naampon manipud iti Delta blues. Ni Hooker ket masansan a naginaynayon kadagiti sabali nga elemento, mairaman iti agsasao a blues ken ti nasapa a blues ti Amianan a Mississippi. <END>"
V. S. Naipaul,"<START> Ni Vidiadhar Surajprasad 'V. S.' Naipaul ket maysa a taga- Trinidad-Britaniko a mannurat iti Indo-Trinidadiano a tawidan iti Bhumihar Brahmin nga ammo para kadagiti nobelana a nangipatengnga iti isip iti legado iti kolonialismo iti Britaniko nga Imperio. Isu ket nagsurat pay kadagiti obra a saan a piksion, a kas dagiti panagsursurat ti panagbanniaga ken dagiti salaysay. <END>"
Horst Seehofer,"<START> Ni Horst Lorenz Seehofer ket politiko ti Kanawan a payak (CSU) ti Aleman. Isu ket nagserbi a kas Ministro Pederal ti Salun-at ket Seguridad Sosial manipud idi 1992 aginggana idi 1998 ken kas ti Ministro Pederal ti Taraon, Agrikultura ken Panagsalaknib ti Konsumer iti gabinete ni Angela Merkel manipud idi 2005 aginggana idi 2008. Idi Oktubre 2008, isu ket nagbalin a mangipangulo ti CSU ken Ministro-Presidente ti Baviera. <END>"
Howlin' Wolf,"<START> Ni Chester Arthur Burnett, ammo a kas ni Howlin' Wolf, ket maysa idi nga Aprikano-Amerikano a kumakanta iti Chicago blues, gitarista ket agsilsilindro, kasisigud a manipud idiay Mississippi. Addaan iti nauneg a boses ken dakkel a tao, isu ket maysa kadagiti kaaduan nga ammo nga artista iti Chicago blues. Kinununa nii musikero ken kritiko a ni Cub Koda, 'awan ti maiyasping kenni Howlin' Wolf para iti agmaymaysa nga abilidad a mangdayyeg iti balay iti pundasionna bayat nga aggiddan a magbutbuteng kadagiti patron kadagiti tagangtangda.' Linaglagip ti produser a ni Sam Phillips, 'No mangegko ni Howlin' Wolf, Kinunak ket, 'Daytoy ket para iti kaniak. Ditoy ti ayan ti kararua iti tao a saan a matay''. Dagiti dadduma a kantana a kas ti 'Smokestack Lightnin'', 'Back Door Man', 'Killing Floor' ken 'Spoonful' ket nagablin dagitoyen nga alagaden iti blues rock. Idi 2004, Ti magasin ti Rolling Stone ket inranggoda isuna a kas bilang 51 iti listaanna kadagiti '100 a Kalatakan nga Artista iti Amin a Panawen'. <END>"
Albert King,"<START> Ni Albert King Nelson, propesional nga ammo kas ni Albert King, ket maysa idi nga Amerikano a gitarista ken kumakanta iti blues, ken nangruna nga impluensia iti lubong ti blues iti panaggitara. Maysa kadagiti 'Tallo nga Ari iti Gitara ti Blues', mabalin nga isu ti kaaduan nga ammo iti singlena idi 1967 iti 'Born Under a Bad Sign'. <END>"
Lindsay Lohan,<START> Ni Lindsay Dee Lohan wenno Lindsay Morgan Lohan ket maysa nga Amerikana nga aktres ken kumakanta. <END>
Alvin Ailey,"<START> Ni Alvin Ailey ket maysa idi nga Aprikano-Amerikano a koreograpo ken aktibista a nagpundar iti Alvin Ailey American Dance Theater idiay Siudad ti New York. Isu ket naipammadayawan iti panangipadayeg iti moderno a sala ken nangrebolusionario iti pannakibinglay ti Aprikano-Amerikano konsierto a sala ti maika-20 a siglo. Nakagun-od ti kompaniana iti birngas it 'Embahador ti Kultura iti Lubong' gapu ti adu a panagpabpabuya iti lubong. Ti obra maestra a koreograpo ni Ailey iti Revelations ket naipampamattian a ti kalaingan nga ammo ken kaaduan a nakitkita a pabuya iti moderno a sala. Idi 1977, nagungunaan ni Ailey iti Medalia Spingarn manipud iti NAACP. Nakaawat isuna ti Kennedy Center Honors idi 1988, iti maysa laeng a tawen sakbay a pimmusay. Idi 2014, pinili ni Presidente Barack Obama ni Ailey a magungunaan kalpasan idi natay iti Presidensial a Medalia ti Wayawaya idi. <END>"
Ruy López de Villalobos,"<START> Ni Ruy López de Villalobos ket maysa idi nga eksplorador nga Espaniol a naglayag idiay Pasipiko manipud idiay Mehiko tapno mangbangon iti permanente a lugar para iti Espania kadagiti Daya nga India, nga asideg idi iti linia ti Demarkasion a pagbaetan ti Espania ken Portugal segun ti Tulag ti Zaragoza idi 1529. Ni Villalobos ti nangited iti nagan ti Filipinas, kalpasan iti panagtawagna iti Las Islas Filipinas a kas pammadayaw kenni Felipe ti Austria, ti Prinsipe ti Asturias iti dayta a panawen, ken isu ti kanungpalan a nagbalin a Felipe II ti Espania. Idi 1542 isu pay ti nakaduktal kadagiti grupo ti isla ti Pasipiko, kaaduan a mabalin daytoy a ti Hawaii, ngem insekreto met idi daytoy nga Espaniol. <END>"
Mitt Romney,"<START> Ni Willard Mitt Romney ket maysa nga Amerikano a negosiante, politiko, ken ti nominado ti Partido Republikano para iti Presidente ti Estados Unidos iti 2012 a panagbutos. Manipud idi 2003 aginggana idi 2007, isu ket nagserbi a kas ti maika-70 a Gobernador ti Massachusetts. <END>"
Thomas Francis Wade,"<START> Ni Apo Thomas Francis Wade (; napalaka nga Insik: 威妥玛; tradisional nga Insik: 威妥瑪; pinyin: Wēi Tuǒmǎ; Wade–Giles: Wei1 T'o3 Ma3) (25 Agosto 1818 – 31 Hulio 1895), ket maysa idi a Briton a diplomata ken sinologo nga isu ti nagpataud ti immuna a libro iti Insik iti INgles idi 1867 a naitungpal a nabaliwan, naipaatiddog ken naipabaliwen iti romanisasion ti Wade-Giles para iti Insik a Mandarin babaen ni Herbert Giles idi 1892. <END>"
Amber Benson,"<START> Ni Amber Nicole Benson ket Amerikana nga aktres, direktor ti pelikula, ken produser ti pelikula. Isu ket kalatakan a naam-ammuan a kas ni Tara Maclay iti serie ti telebision ti Buffy the Vampire Slayer,ngem isu pay ket direktor, produser ken nagbida kadagiti bukodna a pelikula tiChance (2002) ken Lovers, Liars & Lunatics (2006). Isu pay ket kimmaddua a nangiturong ti pelikula ti Drones iti kadua a kameng ti Buffy a ni Adam Busch. <END>"
Richard Barthelmess,<START> Ni Richard Semler 'Dick' Barthelmess ket maysa idi nga Amerikano nga aktor ti pelikula. Isu ket nainomido para iti Kalaingan nga aktor idi 1928. <END>
Sean Connery,"<START> Ni Thomas Sean Connery ket ti retiro a Eskoses ng aaktor ken produser a nangabak iti Gunguna ti Akademia, dua a BAFTA Awards ken tallo a Nabalitokan a Globo. Isu ket kinabaliero babaen ni Isabel II idi Hulio 2000 kalpasan iti pannakaawatna iti Pammadayaw ti Dentro Kennedy idiay Estados Unidos idi 1999. <END>"
Rodrigo Duterte,"<START> Ni Rodrigo 'Rody' Roa Duterte, ammo pay iti birngas a kas Digong, ket Filipino nga abogado ken politiko iti kaputotan a Bisayano nga agserserbi a kas ti maika-16 a Presidente ti Filipinas manipud idi 2016 aginggana idi 2022. Isu ti immuna a taga-Mindanao a presidente ti pagilian. <END>"
