Title,First Paragraph
Gwyneth Paltrow,"Gwyneth Kate Paltrow is an American actress and businesswoman. She established herself as a leading lady appearing in mid-budget and period films during the 1990s and early 2000s, before transitioning to blockbusters. She is the recipient of various accolades, including an Academy Award, a Golden Globe Award, and a Primetime Emmy Award."
Aleksandr Solzhenitsyn,"Aleksandr Isayevich Solzhenitsyn was a Russian writer and prominent Soviet dissident who helped to raise global awareness of political repression in the Soviet Union, especially the Gulag prison system."
Gregorio C. Brillantes,"Gregorio C. Brillantes, a Palanca Award Hall of Famer and a multi-awarded fiction writer, is one of the Philippines' most popular writers in English."
James A. Garfield,"James Abram Garfield was the 20th president of the United States, serving from March 1881 until his death the following September after being shot by an assassin in July. A preacher, lawyer, and Civil War general, Garfield served nine terms in the United States House of Representatives and is the only sitting member of the House to be elected president. Before his candidacy for the presidency, he had been elected to the U.S. Senate by the Ohio General Assembly—a position he declined when he became president-elect."
J. K. Rowling,"Joanne Rowling, better known by her pen name J. K. Rowling, is a British author and philanthropist. She wrote Harry Potter, a seven-volume fantasy series published from 1997 to 2007. The series has sold over 600 million copies, been translated into 84 languages, and spawned a global media franchise including films and video games. The Casual Vacancy (2012) was her first novel for adults. She writes Cormoran Strike, an ongoing crime fiction series, under the alias Robert Galbraith."
Albert Camus,"Albert Camus was a French philosopher, author, dramatist, journalist, world federalist, and political activist. He was the recipient of the 1957 Nobel Prize in Literature at the age of 44, the second-youngest recipient in history. His works include The Stranger, The Plague, The Myth of Sisyphus, The Fall, and The Rebel."
Rudyard Kipling,"Joseph Rudyard Kipling was an English novelist, short-story writer, poet, and journalist. He was born in British India, which inspired much of his work."
Ulysses S. Grant,"Ulysses S. Grant was an American military officer, politician, and the 18th president of the United States, who served two terms from 1869 to 1877. As commanding general, Grant led the Union Army to victory in the American Civil War in 1865 and briefly served as U.S. secretary of war. An effective civil rights executive, Grant signed a bill to create the Justice Department and worked with Radical Republicans to protect African Americans during Reconstruction."
Elizabeth Taylor,"Dame Elizabeth Rosemond Taylor was a British and American actress. She began her career as a child actress in the early 1940s and was one of the most popular stars of classical Hollywood cinema in the 1950s. She then became the world's highest paid movie star in the 1960s, remaining a well-known public figure for the rest of her life. In 1999, the American Film Institute ranked her seventh on its greatest female screen legends list."
Helen Mirren,"Dame Helen Mirren is an English actor. With a career spanning 60 years, she is the recipient of numerous accolades and is the only performer to have achieved both the American and the British Triple Crowns of Acting. Mirren has received an Academy Award and a BAFTA Award for her portrayal of Queen Elizabeth II in The Queen, a Tony Award and a Laurence Olivier Award for portraying the same character in The Audience, as well as three British Academy Television Awards and four Primetime Emmy Awards for her role as DCI Jane Tennison in Prime Suspect."
Isaac Asimov,"Isaac Asimov was an American writer and professor of biochemistry at Boston University. During his lifetime, Asimov was considered one of the ""Big Three"" science fiction writers, along with Robert A. Heinlein and Arthur C. Clarke. A prolific writer, he wrote or edited more than 500 books. He also wrote an estimated 90,000 letters and postcards. Best known for his hard science fiction, Asimov also wrote mysteries and fantasy, as well as popular science and other non-fiction."
William McKinley,"William McKinley was an American politician who served as the 25th president of the United States from 1897 until his assassination in 1901. A member of the Republican Party, he led a realignment that made Republicans largely dominant in the industrial states and nationwide for decades. He presided over victory in the Spanish–American War of 1898; gained control of Hawaii, Puerto Rico, the Philippines and Cuba; restored prosperity after a deep depression; rejected the inflationary monetary policy of free silver, keeping the nation on the gold standard; and raised protective tariffs."
Wilhelm Röntgen,"Wilhelm Conrad Röntgen was a German mechanical engineer and physicist, who, on 8 November 1895, produced and detected electromagnetic radiation in a wavelength range known as X-rays or Röntgen rays, an achievement that earned him the inaugural Nobel Prize in Physics in 1901. In honour of Röntgen's accomplishments, in 2004 the International Union of Pure and Applied Chemistry (IUPAC) named element 111, roentgenium, a radioactive element with multiple unstable isotopes, after him. The unit of measurement roentgen was also named after him."
Grover Cleveland,"Stephen Grover Cleveland was an American politician who served as the 22nd and 24th president of the United States from 1885 to 1889 and from 1893 to 1897. He is the only president in U.S. history to serve non-consecutive presidential terms. In the years before his presidency, he served as a mayor and governor of New York state, winning fame as an anti-corruption crusader. Cleveland was the first Democrat to win the presidency after the Civil War, and was one of two Democratic presidents, followed by Woodrow Wilson in 1912, in an era when Republicans dominated the presidency between 1869 and 1933. He won the popular vote in three presidential elections—1884, 1888, and 1892. Benjamin Harrison won the electoral college vote, and thus the presidency, in 1888."
Adolf Hitler,"Adolf Hitler was an Austrian-born German politician who was the dictator of Nazi Germany from 1933 until his suicide in 1945. He rose to power as the leader of the Nazi Party, becoming the chancellor in 1933 and then taking the title of Führer und Reichskanzler in 1934. During his dictatorship, he initiated the European theatre of World War II by invading Poland on 1 September 1939. He was closely involved in military operations throughout the war and was central to the perpetration of the genocide of about six million Jews and millions of other victims."
Herbert Hoover,"Herbert Clark Hoover was an American politician and humanitarian who served as the 31st president of the United States from 1929 to 1933. A member of the Republican Party, he held office during the onset of the Great Depression. A wealthy mining engineer before his presidency, Hoover led the wartime Commission for Relief in Belgium, served as the director of the U.S. Food Administration, and served as the U.S. secretary of commerce."
Warren G. Harding,"Warren Gamaliel Harding was an American politician who served as the 29th president of the United States from 1921 until his death in 1923. A member of the Republican Party, he was one of the most popular sitting U.S. presidents. After his death, a number of scandals were exposed, including Teapot Dome, as well as an extramarital affair with Nan Britton, which tarnished his reputation."
Brad Pitt,"William Bradley Pitt is an American actor and film producer. He is the recipient of various accolades, including two Academy Awards, two British Academy Film Awards, two Golden Globe Awards, and a Primetime Emmy Award. As a public figure, Pitt has been cited as one of the most powerful and influential people in the American entertainment industry."
Jasmine Trias,"Jasmine Trias is an American singer-entertainer who was the third place finalist on the third season of American Idol. She has released one album to date, Jasmine Trias."
Jennylyn Mercado,"Jennylyn Anne Pineda Mercado-Ho is a Filipino actress. She is known for playing dramatic roles in film and television. She rose to prominence after winning the reality talent competition StarStruck in 2003. Mercado garnered acclaim at a young age for her acting performances on television and film. She starred in multiple commercially successful films, including English Only, Please (2014), The Prenup (2015), Walang Forever (2015), and Just the 3 of Us (2016). With GMA Records and Viva Records, Mercado has released three albums, which have several popular singles such as ""Sa Aking Panaginip"", ""Moments Of Love"" in collaboration with Janno Gibbs, ""Basta't Nandito Ka"", and ""Kahit Sandali"". In 2017, Mercado top billed the Philippine remake of My Love from the Star."
Vic Sotto,"Marvic Valentin Castelo ""Vic"" Sotto is a Filipino actor, comedian, and television personality. Prolific in film and television in the Philippines since the 1970s, he is known for playing comedic roles in television sitcoms and films."
Frencheska Farr,"Marie Frencheska Mae Tobias Farr-Jose is a Filipino singer, actress and model. She was the Are You the Next Big Star? grand champion along with Geoff Taylor."
Mike Enriquez,"Miguel ""Mike"" Castro Enriquez was a Filipino broadcast journalist and television presenter. He started his career as a radio broadcaster in 1969, and after signing with GMA Network in 1995, he became a TV anchor for Saksi and 24 Oras. He was also the Consultant for radio operations of GMA Network, and president of the network's regional and radio subsidiary, RGMA Network Inc., and the Station Manager of Super Radyo DZBB 594 AM."
Sheryn Regis,"Sheryn Mae Poncardas Regis is a Filipino pop singer-songwriter, host, entrepreneur and occasional actress. She rose to fame after finishing first runner-up in the television talent show Star in a Million in 2003. Dubbed as the ""Crystal Voice of Asia,"" she is best known for singing the theme songs for several hit television series on ABS-CBN including Marina (2004), Krystala (2005), and Kampanerang Kuba (2005)."
Mel Tiangco,"Carmela Corro Tiangco, professionally known as Mel Tiangco, is a Filipino television newscaster and television host. She is one of the news pillars of GMA News and Public Affairs and a multi-awarded news anchor."
Herbert W. Armstrong,"Herbert W. Armstrong was an American evangelist who founded the Worldwide Church of God (WCG). An early pioneer of radio and television evangelism, Armstrong preached what he claimed was the comprehensive combination of doctrines in the entire Bible, in the light of the New Covenant scriptures, which he maintained to be the restored true Gospel. These doctrines and teachings have been referred to as Armstrongism by non-adherents."
Sarah Lahbati,"Sarah Lahbati is a Swiss-born Filipino actress and reality star. She gained media attention as a finalist on the 5th season of reality show StarStruck, a Philippine overall talent show broadcast on GMA Network. Lahbati declared StarStruck V's Ultimate Female Survivors after nine weeks of the competition. Together with Steven Silva, they each won P1.5 million cash prize and an exclusive contract with GMA Network, with a minimum guarantee of P3.5 million."
Rachelle Ann Go,"Rachelle Ann Villalobos Go is a Filipino singer and actress. Known primarily for her work in theater, she has starred in musicals on Broadway and in the West End. She began her career as a pop artist in her native country and has received many accolades, including an Aliw Award, an MTV Pilipinas Music Award, two Awit Awards, and five Myx Music Awards. Tatler magazine named her one of the most influential people in Asia in 2021."
Leona Florentino,"Leona Josefa Florentino was a Filipina poet who wrote in Spanish and Ilocano. She is considered as the ""mother of Philippine women's literature"", serving as the ""bridge from oral to literary tradition""; and as a pioneer in Philippine lesbian literature."
Ishmael Bernal,"Ishmael Bernal was a Filipino filmmaker, stage and television director, actor and screenwriter. Noted for his melodramas, particularly with feminist and moral issues, he directed many landmark Filipino films such as Nunal sa Tubig (1976), City After Dark (1980), Relasyon (1982), Himala (1982), and Hinugot sa Langit (1985). He was declared a National Artist of the Philippines in 2001."
Reynaldo Aguinaldo,"Reynaldo Bautista Aguinaldo was a Filipino politician who served as mayor of Kawit, Cavite from 2007 to 2016. He had previously served as vice mayor for three consecutive terms, from 1998 to 2007."
Nadine Samonte,"Nadine Burgos Eidloth-Chua, known professionally as Nadine Samonte-Chua, is a Filipino-German actress and model. She participated as an Avenger of the first season of StarStruck."
Solenn Heussaff,"Solenn Marie Adea Heussaff-Bolzico is a Filipino actress, model and singer. She was one of the official castaways of Survivor Philippines: Celebrity Showdown. She made it to the final 3. In December 2010, she signed a recording contract with MCA Music, a movie contract with Regal Entertainment, and a television contract with GMA Network and GMA Artist Center."
Joey de Leon,"Jose Maria Ramos de Leon Jr., popularly known as Joey de Leon, is a Filipino comedian, actor, television host and songwriter. He is one of the members of the comedy trio, collectively known as TVJ with Tito and Vic. De Leon is also the creator of noontime variety show Eat Bulaga! as recognized by the Intellectual Property Office of the Philippines (IPOPHL), co-founder of TVJ Productions, and main host of Eat Bulaga! on TV5"
Tanya Garcia,"Tanya Katherine Rosales Lyttle-Lapid, known professionally as Tanya Garcia, is a Filipino actress. She became a household name after playing Cecilia in one of the longest running soap operas of GMA Network, Sana ay Ikaw na Nga, opposite Dingdong Dantes. In 2015 she moved back to her home network ABS-CBN. During the year 2020, she returned to GMA Network."
Gardo Versoza,"Mennen Torres Polintan, popularly known as Gardo Verzosa, is a Filipino actor and comedian."
Michael V.,"Beethoven Del Valle Bunagan, known professionally as Michael V. and also known as Bitoy, is a Filipino actor, comedian, and recording artist, who appears in the GMA Network show Bubble Gang and Pepito Manaloto."
Yasmien Kurdi,"Yasmien Yuson Kurdi-Soldevilla is a Filipino singer, actress and model. She was one of the Final Four in the first season of StarStruck, a reality-based talent search show by GMA Network in the Philippines, where she finished as first runner-up. Yasmien Kurdi graduated magna cum laude from Arellano University with a degree of Bachelor of Arts in political science. She is currently an exclusive artist of GMA Network."
Greg Laconsay,"
Gregorio ""Greg"" C. Laconsay is a Filipino-Ilocano editor and writer in the Philippines. He was the former editor in chief for two prominent literary magazines in the Philippines, namely the Ilocano-language Bannawag and the Tagalog-language Liwayway."
Chester A. Arthur,"Chester Alan Arthur was an American politician who served as the 21st president of the United States from 1881 to 1885. He was a Republican lawyer from New York who briefly served as the 20th vice president under President James A. Garfield. Arthur assumed the presidency after Garfield's death on September 19, 1881, and served the remainder of his term until March 4, 1885."
Tet Garcia,"Enrique ""Tet"" Tuason Garcia Jr. was a Filipino politician who served as the governor of Bataan from 1992 until 1994, and again from 2004 until 2013. He served five non-consecutive terms as a congressman from Bataan's 2nd congressional district. He died during his third stint in the House in 2016."
Arnold Clavio,"Arnold Clavio, also known as Igan, is a Filipino radio and television newscaster, journalist, and television host. He currently co-anchors GMA Network's late-night newscast Saksi, the morning show Unang Hirit, and a morning radio show called One on One: Walang Personalan on DZBB with Connie Sison. He also writes a column entitled Hirit Na! for the tabloid newspaper Abante. He was the director of Solid Ground School in Plaridel, Bulacan in 1998."
Isabelo de los Reyes,"Isabelo de los Reyes Sr. y Florentino, also known as Don Belong, was a prominent Filipino patriot, politician, writer, journalist, and labor activist in the 19th and 20th centuries. He was the original founder and proclaimer of the Iglesia Filipina Independiente, the first-ever Filipino independent Christian Church in history in the form of a nationalist church, which was proclaimed in 1902. He is popularly known today as the ""Father of Philippine Folklore"", the ""Father of the Philippine Labor Movement"", and the ""Father of Filipino Socialism""."
Kristine Hermosa,"Kristine Hermosa-Sotto, professionally known by her maiden name Kristine Hermosa, is a Filipino actress, model, endorser and entrepreneur. She is recognized as one of her generation's most successful actresses in the Philippines."
Anne Curtis,"Anne Curtis-Smith is a Filipino-Australian actress, model, television host, entrepreneur and recording artist. Dubbed as the Asia's Multimedia Superstar, she is recognised as one of the most successful celebrities of the 21st-century in the Philippines. She is the first Filipina celebrity to reach 20 million followers on Instagram, amassing millions on other social media as well."
Strike Revilla,Strike Bautista Revilla is a Filipino politician and incumbent Representative of Cavite's 2nd District in the Philippine House of Representatives. He is a member of the National Unity Party. He previously served as mayor of Bacoor and was a member of the board of directors of the Philippine Charity Sweepstakes Office (PCSO) from August 2005 to March 2007.
Carla Abellana,"Carla Angeline Reyes Abellana is a Filipino actress and model. She played the lead role in the Philippine adaptation of the Mexican telenovela Rosalinda, and is also known for other leading roles in Sine Novela: Basahang Ginto in 2010, Kung Aagawin Mo Ang Langit in 2011, Makapiling Kang Muli in 2012, My Husband's Lover in 2013, My Destiny in 2014, Because of You in 2015, Mulawin vs. Ravena, and I Heart Davao in 2017. Her first anti-heroine role was in Pamilya Roces in 2018, and followed it up with the family-oriented drama Love of My Life in 2020. In 2023, she starred in Stolen Life as a wife who switched places with her cousin, turning to a villainous role for the first time in her career. She is currently an exclusive artist of under Triple A Management and exclusive talent of GMA Network."
Alfredo Alcala,"Alfredo P. Alcala was a Filipino comics artist, born in Talisay, Negros Occidental in the Philippines. Alcala was an established illustrator whose works appeared in the Alcala Komix Magazine. His 1963 creation Voltar introduced him to an international audience, particularly in the United States. Alcala garnered awards in science fiction during the early part of the 1970s."
Albert Garcia,"Albert Raymond ""Abet"" Sandejas Garcia is a Filipino politician. He currently serves as a member of the Philippine House of Representatives representing the 2nd District of Bataan since 2022. He served as the 24th provincial Governor of Bataan from 2013 to 2022 under the National Unity Party, which also he is the president of the political party. He has previously been elected to two terms as a Member of the House of Representatives, representing the 2nd District of Bataan. He first won election to Congress in 2004 and was re-elected in 2007. Prior to his election to Congress, Garcia served two terms as mayor of Balanga from 1998 to 2004."
Felicito Payumo,"Felicito Payumo is a Filipino businessman and politician currently serving as chairman of University of Nueva Caceres–Bataan. He represented the First District of Bataan in the House of Representatives of the Philippines from 1987 to 1998, and served as chairman of the Subic Bay Metropolitan Authority from 1998 to 2004 and Bases Conversion and Development Authority from 2011 to 2012, respectively."
Katrina Halili,"Maria Katrina Iren Pe Halili is a Filipino actress and commercial model of Chinese descent. She made her screen debut in 2003 through the reality talent competition StarStruck, and became a household name for playing antagonist roles in several hit television series, the most prominent being Majika (2006), Marimar (2007) and Darna."
Mauricio Domogan,"Mauricio ""Morris"" Gamsao Domogan is a Filipino lawyer and politician and is the longest serving mayor of the city of Baguio. A member of the Lakas Kampi CMD party, Domogan served three terms as mayor of Baguio, initially as acting mayor from July to October 1992, and officially as the new mayor in October 1992 after succeeding the mayoralty post from Ramon Labo after he was disqualified due to his citizenship status, until 2001, and again from 2010 to 2019."
Paul Cézanne,Paul Cézanne was a French Post-Impressionist painter whose work introduced new modes of representation and influenced avant-garde artistic movements of the early 20th century. Cézanne is said to have formed the bridge between late 19th-century Impressionism and early 20th century Cubism.
William Howard Taft,"William Howard Taft was the 27th president of the United States, serving from 1909 to 1913, and the tenth chief justice of the United States, serving from 1921 to 1930, the only person to have held both offices. Taft was elected president in 1908, the chosen successor of Theodore Roosevelt, but was defeated for reelection in 1912 by Woodrow Wilson after Roosevelt split the Republican vote by running as a third-party candidate. In 1921, President Warren G. Harding appointed Taft to be chief justice, a position he held until a month before his death."
Benjamin Harrison,"Benjamin Harrison was an American politician who served as the 23rd president of the United States from 1889 to 1893. He was a member of the Harrison family of Virginia—a grandson of the ninth president, William Henry Harrison, and a great-grandson of Benjamin Harrison V, a Founding Father."
Rutherford B. Hayes,"Rutherford Birchard Hayes was an American military officer and politician from the state of Ohio. A Republican, Hayes served as the 19th president of the United States from 1877 to 1881."
T-Bone Walker,"Aaron Thibeaux ""T-Bone"" Walker was an American blues musician, composer, songwriter and bandleader, who was a pioneer and innovator of the jump blues, West Coast blues, and electric blues sounds. In 2018 Rolling Stone magazine ranked him number 67 on its list of ""The 100 Greatest Guitarists of All Time""."
Emmy Rossum,"Emmanuelle Grey Rossum is an American actress, director, producer, singer, and songwriter. She is best known for her portrayal of Fiona Gallagher in the television series Shameless (2011–2019). Since the mid-2010s, she has directed and produced television, including the 2022 Peacock series Angelyne in which she also stars."
Jose P. Laurel,"José Paciano Laurel y García was a Filipino politician, lawyer, and judge, who served as the President of the Japanese-occupied Second Philippine Republic, a puppet state during World War II, from 1943 to 1945. Since the administration of President Diosdado Macapagal (1961–1965), Laurel has been officially recognized by later administrations as a former president of the Philippines."
Calvin Coolidge,Calvin Coolidge was an American attorney and politician who served as the 30th president of the United States from 1923 to 1929.
Boris Christoff,"Boris Christoff was a Bulgarian opera singer, widely considered one of the greatest basses of the 20th century."
Brigitte Bardot,"Brigitte Anne-Marie Bardot, often referred to by her initials B.B., is a French animal rights activist and former actress, singer, and model. Famous for portraying sexually emancipated characters, often with hedonistic lifestyles, she was one of the best known activists in the sexual revolution of the 1950s–1970s. Although she withdrew from the entertainment industry in 1973, she remains a major popular culture icon and a noted figure in ushering in the sexual revolution. She has acted in 47 films, performed in several musicals, and recorded more than 60 songs. She was awarded the Legion of Honour in 1985."
Guglielmo Marconi,"Guglielmo Giovanni Maria Marconi, 1st Marquis of Marconi was an Italian inventor and electrical engineer, known for his creation of a practical radio wave–based wireless telegraph system. This led to Marconi being credited as the inventor of radio, and he shared the 1909 Nobel Prize in Physics with Karl Ferdinand Braun ""in recognition of their contributions to the development of wireless telegraphy""."
Robert De Niro,"Robert Anthony De Niro is an American actor and film producer. Known for his collaborations with Martin Scorsese, he is considered to be one of the greatest and most influential actors of his generation. De Niro is the recipient of various accolades, including two Academy Awards, a Golden Globe Award, the Cecil B. DeMille Award, and a Screen Actors Guild Life Achievement Award. In 2009, De Niro received the Kennedy Center Honors, and earned a Presidential Medal of Freedom from U.S. President Barack Obama in 2016."
Lorenzo Ruiz,"Lorenzo Ruiz, also called Saint Lorenzo of Manila, is a Filipino saint venerated in the Catholic Church. A Chinese Filipino, he became his country's protomartyr after his execution in Japan by the Tokugawa Shogunate during its persecution of Japanese Christians in the 17th century."
Toshiro Mifune,"Toshiro Mifune  was a Japanese actor and producer. A winner of numerous awards and accolades over a lengthy career, Mifune is best known for starring in Akira Kurosawa's critically-acclaimed jidaigeki films such as Rashomon (1950), Seven Samurai (1954), Throne of Blood (1957), The Hidden Fortress (1958) and Yojimbo (1961). He also portrayed Miyamoto Musashi in Hiroshi Inagaki's Samurai Trilogy (1954–1956), Lord Toranaga in the NBC television miniseries Shōgun, and Admiral Isoroku Yamamoto in three different films. He is widely considered one of the greatest actors of all time."
Thomas Mann,"Paul Thomas Mann was a German novelist, short story writer, social critic, philanthropist, essayist, and the 1929 Nobel Prize in Literature laureate. His highly symbolic and ironic epic novels and novellas are noted for their insight into the psychology of the artist and the intellectual. His analysis and critique of the European and German soul used modernized versions of German and Biblical stories, as well as the ideas of Johann Wolfgang von Goethe, Friedrich Nietzsche, and Arthur Schopenhauer."
José Saramago,"José de Sousa Saramago was a Portuguese writer. He was the recipient of the 1998 Nobel Prize in Literature for his ""parables sustained by imagination, compassion and irony [with which he] continually enables us once again to apprehend an elusory reality."" His works, some of which can be seen as allegories, commonly present subversive perspectives on historic events, emphasizing the theopoetic human factor. In 2003 Harold Bloom described Saramago as ""the most gifted novelist alive in the world today"" and in 2010 said he considers Saramago to be ""a permanent part of the Western canon"", while James Wood praises ""the distinctive tone to his fiction because he narrates his novels as if he were someone both wise and ignorant."""
Samuel Beckett,"Samuel Barclay Beckett was an Irish novelist, dramatist, short story writer, theatre director, poet, and literary translator. His literary and theatrical work features bleak, impersonal, and tragicomic experiences of life, often coupled with black comedy and nonsense. His work became increasingly minimalist as his career progressed, involving more aesthetic and linguistic experimentation, with techniques of stream of consciousness repetition and self-reference. He is considered one of the last modernist writers, and one of the key figures in what Martin Esslin called the Theatre of the Absurd."
Betty White,"Betty Marion Ludden was an American actress, comedian and producer. A pioneer of early television with a career spanning almost seven decades, she was noted for her vast number of television appearances acting in sitcoms, sketch comedy, and game shows. She produced and starred in the series Life with Elizabeth (1953–1955), thus becoming the first woman to produce a sitcom."
Nicole Kidman,"Nicole Mary Kidman is an Australian and American actress and producer. Known for her work in film and television productions across many genres, she has consistently ranked among the world's highest-paid actresses. She is the recipient of numerous accolades, including an Academy Award, a BAFTA Award, two Primetime Emmy Awards, and six Golden Globe Awards. She received the New York Film Festival Gala Tribute in 2012 and is the first Australian actor to receive the AFI Life Achievement Award honor."
Pierre Curie,"Pierre Curie was a French physicist, a pioneer in crystallography, magnetism, piezoelectricity, and radioactivity. In 1903, he received the Nobel Prize in Physics with his wife, Marie Skłodowska–Curie, and Henri Becquerel, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"". With their win, the Curies became the first ever married couple to win the Nobel Prize, launching the Curie family legacy of five Nobel Prizes."
Luciano Pavarotti,"Luciano Pavarotti was an Italian operatic tenor who during the late part of his career crossed over into popular music, eventually becoming one of the most acclaimed tenors of all time. He made numerous recordings of complete operas and individual arias, gaining worldwide fame for his tone, and gaining the nickname ""King of the High Cs""."
Mikhail Ulyanov,"Mikhail Ulyanov may refer to:Mikhail Alexandrovich Ulyanov, actor
Mikhail Ivanovich Ulyanov, diplomat

"
T. S. Eliot,"Thomas Stearns Eliot  was a poet, essayist, publisher, playwright, literary critic and editor. He is considered to be one of the 20th century's greatest poets, as well as a central figure in English-language Modernist poetry. His use of language, writing style, and verse structure reinvigorated English poetry. He is also noted for his critical essays, which often reevaluated long-held cultural beliefs."
Natalie Portman,"Natalie Portman is an Israeli-born American actress. She has had a prolific film career since her teenage years and has starred in various blockbusters and independent films, receiving multiple accolades, including an Academy Award and two Golden Globe Awards."
Masiela Lusha,"Masiela Lusha is an Albanian-born American actress and author. She gained recognition for playing Carmen Lopez on the globally syndicated ABC sitcom George Lopez, a role that earned her two consecutive Young Artist Awards for Leading Young Actress in a Comedy or Drama. After transitioning into film, she starred in Sony Pictures’ Blood: The Last Vampire. Lusha also starred alongside David Hasselhoff and Ian Ziering in SyFy's television movie Sharknado: The 4th Awakens."
Gregor Mendel,"Gregor Johann Mendel OSA was an Austrian-Czech biologist, meteorologist, mathematician, Augustinian friar and abbot of St. Thomas' Abbey in Brno (Brünn), Margraviate of Moravia. Mendel was born in a German-speaking family in the Silesian part of the Austrian Empire and gained posthumous recognition as the founder of the modern science of genetics. Though farmers had known for millennia that crossbreeding of animals and plants could favor certain desirable traits, Mendel's pea plant experiments conducted between 1856 and 1863 established many of the rules of heredity, now referred to as the laws of Mendelian inheritance."
Jejomar Binay,"Jejomar ""Jojo"" Cabauatan Binay Sr. is a Filipino lawyer and politician who served as the 13th vice president of the Philippines from 2010 to 2016, under President Benigno Aquino III."
Innokenty Smoktunovsky,Innokenty Mikhailovich Smoktunovsky was a Soviet and Russian stage and film actor. He was named a People's Artist of the USSR in 1974 and a Hero of Socialist Labour in 1990.
Herta Müller,"Herta Müller is a Romanian-German novelist, poet, essayist and recipient of the 2009 Nobel Prize in Literature. She was born in Nițchidorf, Timiș County in Romania; her native language is German. Since the early 1990s, she has been internationally established, and her works have been translated into more than twenty languages."
Betty Gofman,"Betty Gofman is a Brazilian stage, film, and television actress. Descended from Russian-Austrian Jews, she is married to philosopher Hugo Barreto, with whom she has two daughters, the twins Alice and Helena, and she is the sister of actress Rosane (Roxanne) Gofman."
Leonardo DiCaprio,"Leonardo Wilhelm DiCaprio is an American actor and film producer. Known for his work in biographical and period films, he is the recipient of numerous accolades, including an Academy Award, a British Academy Film Award, and three Golden Globe Awards. As of 2019, his films have grossed over $7.2 billion worldwide, and he has been placed eight times in annual rankings of the world's highest-paid actors."
Ramón Menéndez Pidal,"Ramón Menéndez Pidal was a Spanish philologist and historian. He worked extensively on the history of the Spanish language and Spanish folklore and folk poetry. One of his main topics was the history and legend of El Cid. He was nominated for the Nobel Prize in 26 separate years, the most nominations of any other person."
George Lucas,"George Walton Lucas Jr. is an American filmmaker and philanthropist. Lucas is best known for creating the Star Wars and Indiana Jones franchises and founding Lucasfilm, LucasArts, Industrial Light & Magic and THX. He served as chairman of Lucasfilm, before selling it to The Walt Disney Company in 2012. Lucas is one of history's most financially successful filmmakers and has been nominated for four Academy Awards. Lucas personally directed or conceived ten of the 100 highest-grossing movies at the North American box office, adjusted for ticket-price inflation. Lucas is considered to be one of the most significant figures of the 20th-century New Hollywood movement, and a pioneer of the modern blockbuster. Despite this, he has remained an independent filmmaker away from Hollywood for most of his career."
Basshunter,"Jonas Erik Altberg, known professionally as Basshunter, is a Swedish singer, record producer, songwriter and DJ. As indicated by his stage name, Basshunter is known for bass-heavy eurodance, trance, and electronic pop music."
William Faulkner,"William Cuthbert Faulkner was an American writer known for his novels and short stories set in the fictional Yoknapatawpha County, based on Lafayette County, Mississippi, where Faulkner spent most of his life. A Nobel laureate, Faulkner is one of the most celebrated writers of American literature and often is considered the greatest writer of Southern literature."
Jo Jung-suk,"Jo Jung-suk is a South Korean actor. He began his career in theater, starring in Spring Awakening, Hedwig and the Angry Inch, and the stage adaptation of The Harmonium in My Memory, among many other musicals and plays."
Bob Dylan,"Bob Dylan is an American singer-songwriter. Often considered to be one of the greatest songwriters in history, Dylan has been a major figure in popular culture over his 60-year career. He rose to prominence in the 1960s, when his songs ""Blowin' in the Wind"" (1963) and ""The Times They Are a-Changin'"" (1964) became anthems for the civil rights and antiwar movements. Initially modeling his style on Woody Guthrie's folk songs, Robert Johnson's blues, and what he called the ""architectural forms"" of Hank Williams's country songs, Dylan added increasingly sophisticated lyrical techniques to the folk music of the early 1960s, infusing it ""with the intellectualism of classic literature and poetry"". His lyrics incorporated political, social, and philosophical influences, defying pop music conventions and appealing to the burgeoning counterculture."
John Steinbeck,"John Ernst Steinbeck was an American writer. He won the 1962 Nobel Prize in Literature ""for his realistic and imaginative writings, combining as they do sympathetic humor and keen social perception"". He has been called ""a giant of American letters."""
Grace Kelly,"Grace Patricia Kelly, also known as Grace of Monaco, was an American actress and Princess of Monaco as the wife of Prince Rainier III from their marriage on April 18, 1956, until her death. Prior to her marriage, she starred in several significant films in the early to mid-1950s. She received an Academy Award, three Golden Globe Awards and was ranked 13th on the American Film Institute's 25 Greatest Female Stars list."
Penélope Cruz,"Penélope Cruz Sánchez is a Spanish actress. Prolific in Spanish and English-language films, she has received various accolades, including an Academy Award and a BAFTA Award, in addition to nominations for a Primetime Emmy Award and four Golden Globe Awards."
Jack Nicholson,"John Joseph Nicholson is an American retired actor and filmmaker. Nicholson is widely regarded as one of the greatest actors of the 20th century. Throughout his five-decade career he received numerous accolades, including three Academy Awards, three BAFTA Film Awards, six Golden Globe Awards, and a Grammy Award. He also received the American Film Institute's Life Achievement Award in 1994 and the Kennedy Center Honor in 2001. In many of his films, he played rebels against the social structure."
